Dia,NORTE,CENTRO,SUL
2023-05-07 00:00:00,0.0,0.0,0.0
2023-05-08 00:00:00,0.0,0.0,0.0
2023-05-09 00:00:00,0.125,1.0,0.0
2023-05-10 00:00:00,0.0,0.0,0.0
2023-05-11 00:00:00,0.0,0.0,0.0
2023-05-12 00:00:00,0.0,0.0,0.0
2023-05-13 00:00:00,0.0,0.0,0.0
2023-05-14 00:00:00,0.0,0.0,0.0
2023-05-15 00:00:00,0.0,0.0,0.0
2023-05-16 00:00:00,0.0,0.0,0.0
2023-05-17 00:00:00,0.0,0.0,0.0
2023-05-18 00:00:00,0.0,0.0,0.0
2023-05-19 00:00:00,0.0,0.0,0.0
2023-05-20 00:00:00,0.0,0.0,0.0
2023-05-21 00:00:00,0.0,0.0,0.0
2023-05-22 00:00:00,0.0,0.0,0.0
2023-05-23 00:00:00,0.0,0.0,0.0
2023-05-24 00:00:00,0.0,0.0,0.0
2023-05-25 00:00:00,0.0,0.0,0.0
2023-05-26 00:00:00,0.0,0.0,0.0
2023-05-27 00:00:00,0.0,0.0,0.0
2023-05-28 00:00:00,1.125,2.9375,2.5625
2023-05-29 00:00:00,5.125,5.5,2.0
2023-05-30 00:00:00,0.0,0.0,0.0
2023-05-31 00:00:00,0.25,0.0,0.0
2023-06-01 00:00:00,0.0,0.0,0.0
2023-06-02 00:00:00,0.0,0.0,0.0
2023-06-03 00:00:00,0.0,0.0,0.0
2023-06-04 00:00:00,0.0,0.0,0.0
2023-06-05 00:00:00,0.0,0.0,0.0
2023-06-06 00:00:00,0.0,0.0,0.0
2023-06-07 00:00:00,0.0,0.0,0.0
2023-06-08 00:00:00,0.0,0.0,0.0
2023-06-09 00:00:00,0.0,0.0,0.0
2023-06-10 00:00:00,0.0,0.0,0.0
2023-06-11 00:00:00,0.0,0.0,0.0
2023-06-12 00:00:00,14.625,6.4375,8.6875
2023-06-13 00:00:00,4.25,0.25,5.0
2023-06-14 00:00:00,7.625,7.125,8.125
2023-06-15 00:00:00,33.125,32.125,33.0
2023-06-16 00:00:00,27.875,19.375,32.875
2023-06-17 00:00:00,0.0,0.0,0.0
2023-06-18 00:00:00,0.0,0.0,0.0
2023-06-19 00:00:00,0.0,0.0,0.0
2023-06-20 00:00:00,0.0,0.0,0.0
2023-06-21 00:00:00,0.0,0.0,0.0
2023-06-22 00:00:00,0.0,0.0,0.25
2023-06-23 00:00:00,2.875,3.0,1.0
2023-06-24 00:00:00,4.375,3.125,7.875
2023-06-25 00:00:00,0.0,0.0,0.0
2023-06-26 00:00:00,0.0,0.0,0.0
2023-06-27 00:00:00,0.0,0.0,0.0
2023-06-28 00:00:00,0.0,0.0,0.0
2023-06-29 00:00:00,0.0,0.0,0.0
2023-06-30 00:00:00,0.0,0.0,0.0
2023-07-01 00:00:00,0.0,0.0,0.0
2023-07-02 00:00:00,0.0,0.0,0.0
2023-07-03 00:00:00,0.625,0.125,6.75
2023-07-04 00:00:00,0.0,0.0,1.125
2023-07-05 00:00:00,0.0,0.0,0.0
2023-07-06 00:00:00,0.0,0.0,0.0
2023-07-07 00:00:00,0.0,0.0,0.0
2023-07-08 00:00:00,11.375,15.0,29.5
2023-07-09 00:00:00,0.0,0.0,0.125
2023-07-10 00:00:00,10.375,23.0,8.25
2023-07-11 00:00:00,2.75,4.25,2.625
2023-07-12 00:00:00,14.375,16.75,15.0
2023-07-13 00:00:00,6.125,14.375,28.375
2023-07-14 00:00:00,0.0,0.0,0.0
2023-07-15 00:00:00,0.0,0.5,0.0
2023-07-16 00:00:00,0.0,0.0,0.0
2023-07-17 00:00:00,0.0,0.0,0.0
2023-07-18 00:00:00,0.5,0.75,0.125
2023-07-19 00:00:00,0.0,0.0,0.0
2023-07-20 00:00:00,1.5,1.875,0.25
2023-07-21 00:00:00,0.75,1.375,0.4375
2023-07-22 00:00:00,,,
2023-07-23 00:00:00,0.0,0.0,0.0
2023-07-24 00:00:00,0.0,0.0,0.0
2023-07-25 00:00:00,0.0,0.0,0.0
2023-07-26 00:00:00,0.0,0.0,0.0
2023-07-27 00:00:00,0.125,0.0,0.0
2023-07-28 00:00:00,0.0,0.0,0.0
2023-07-29 00:00:00,0.25,0.0,0.0
2023-07-30 00:00:00,0.0,0.0,0.0
2023-07-31 00:00:00,0.0,0.0,0.0
2023-08-01 00:00:00,0.0,0.0,0.0
2023-08-02 00:00:00,0.0,0.0,0.0
2023-08-03 00:00:00,0.0,0.0,0.0
2023-08-04 00:00:00,0.0,0.0,0.0
2023-08-05 00:00:00,0.0,0.0,0.0
2023-08-06 00:00:00,0.0,0.0,0.0
2023-08-07 00:00:00,0.0,0.0,0.0
2023-08-08 00:00:00,2.25,2.0,6.125
2023-08-09 00:00:00,1.375,5.875,2.125
2023-08-10 00:00:00,6.125,7.5,10.125
2023-08-11 00:00:00,2.0,3.0,2.75
2023-08-12 00:00:00,3.25,10.75,3.5
2023-08-13 00:00:00,0.125,0.125,0.25
2023-08-14 00:00:00,0.0,0.0,0.0
2023-08-15 00:00:00,0.0,0.0,0.0
2023-08-16 00:00:00,0.0,0.0,0.0
2023-08-17 00:00:00,0.0,0.0,0.0
2023-08-18 00:00:00,0.0,0.0,0.0
2023-08-19 00:00:00,11.5,24.625,13.875
2023-08-20 00:00:00,0.125,0.0,0.125
2023-08-21 00:00:00,0.0,0.0,0.125
2023-08-22 00:00:00,0.0,0.0,0.0
2023-08-23 00:00:00,0.5,0.0,0.0
2023-08-24 00:00:00,0.0,0.0,0.0
2023-08-25 00:00:00,6.5,18.75,6.25
2023-08-26 00:00:00,1.0,0.0,0.0
2023-08-27 00:00:00,0.0,0.0,0.0
2023-08-28 00:00:00,0.0,0.0,0.0
2023-08-29 00:00:00,0.0,0.0,0.0
2023-08-30 00:00:00,1.125,0.125,0.375
2023-08-31 00:00:00,0.0,0.0,0.0
2023-09-01 00:00:00,0.0,0.0,0.0
2023-09-02 00:00:00,0.0,0.0,0.0
2023-09-03 00:00:00,1.8125,1.0,0.0625
2023-09-04 00:00:00,9.625,4.5,3.5
2023-09-05 00:00:00,17.125,0.75,37.75
2023-09-06 00:00:00,0.0,0.0,0.0
2023-09-07 00:00:00,0.0,0.0,0.625
2023-09-08 00:00:00,0.25,0.0,4.125
2023-09-09 00:00:00,0.25,0.0,0.375
2023-09-10 00:00:00,2.5,2.0,2.75
2023-09-11 00:00:00,0.0,0.0,0.0
2023-09-12 00:00:00,0.0,0.0,0.0
2023-09-13 00:00:00,0.125,0.0,0.0
2023-09-14 00:00:00,0.8125,0.0,0.0625
2023-09-15 00:00:00,0.0,0.0,0.0
2023-09-16 00:00:00,0.0,0.0,0.0
2023-09-17 00:00:00,0.0,0.0,0.0
2023-09-18 00:00:00,0.0,0.0,0.0
2023-09-19 00:00:00,6.0,7.0,2.125
2023-09-20 00:00:00,3.375,3.125,2.0
2023-09-21 00:00:00,0.0,0.0,0.0
2023-09-22 00:00:00,0.0,0.0,0.0
2023-09-23 00:00:00,0.0,0.0,0.0
2023-09-24 00:00:00,0.0,0.125,0.125
