Dia,NORTE,CENTRO,SUL
2023-01-01,25.190345764160156,25.911638259887695,25.24818992614746
2023-01-02,25.491966247558594,26.4329776763916,25.741260528564453
2023-01-03,25.601364135742188,26.4565372467041,25.636438369750977
2023-01-04,20.9866886138916,21.857847213745117,21.146923065185547
2023-01-05,21.861337661743164,22.56742286682129,22.088884353637695
2023-01-06,22.009157180786133,21.96367073059082,20.967418670654297
2023-01-07,21.37700653076172,22.175722122192383,21.419158935546875
2023-01-08,21.58119773864746,22.600818634033203,21.8848819732666
2023-01-09,23.357494354248047,23.533769607543945,23.47350311279297
2023-01-10,24.714447021484375,25.082937240600586,24.916215896606445
2023-01-11,25.343034744262695,25.633935928344727,25.46547508239746
2023-01-12,26.777345657348633,27.137510299682617,26.986774444580078
2023-01-13,26.850852966308594,27.384626388549805,27.140806198120117
2023-01-14,26.03107261657715,26.373090744018555,26.21426773071289
2023-01-15,24.127887725830078,24.089284896850586,23.280344009399414
2023-01-16,24.596302032470703,24.54981803894043,23.569307327270508
2023-01-17,25.551408767700195,25.49039077758789,24.094388961791992
2023-01-18,25.572834014892578,25.513139724731445,24.155818939208984
2023-01-19,25.1178035736084,25.059654235839844,23.787921905517578
2023-01-20,23.52499008178711,23.481565475463867,22.579755783081055
2023-01-21,24.21019744873047,24.035226821899414,23.836788177490234
2023-01-22,25.9290771484375,26.804393768310547,26.297382354736328
2023-01-23,25.48923110961914,26.13730239868164,25.738048553466797
2023-01-24,25.373384475708008,25.593040466308594,25.477218627929688
2023-01-25,26.92628288269043,28.009931564331055,27.24381446838379
2023-01-26,26.488574981689453,27.54081916809082,26.75647735595703
2023-01-27,25.345815658569336,26.635961532592773,25.851375579833984
2023-01-28,26.09001922607422,27.179523468017578,26.432769775390625
2023-01-29,25.42232322692871,26.165433883666992,25.48228645324707
2023-01-30,24.220075607299805,25.06249237060547,24.44548797607422
2023-01-31,25.776119232177734,26.943439483642578,26.148733139038086
2023-02-01,25.81525421142578,26.499019622802734,25.924222946166992
2023-02-02,26.2230224609375,26.740665435791016,26.25681495666504
2023-02-03,25.008771896362305,25.19569969177246,25.007949829101562
2023-02-04,25.288599014282227,25.46194839477539,25.268539428710938
2023-02-05,24.971532821655273,25.436370849609375,25.062820434570312
2023-02-06,24.38899040222168,25.052270889282227,24.433090209960938
2023-02-07,24.356843948364258,25.270614624023438,24.504741668701172
2023-02-08,25.305583953857422,26.194156646728516,25.432283401489258
2023-02-09,25.723812103271484,26.274423599243164,25.73320960998535
2023-02-10,24.202966690063477,25.252641677856445,24.597314834594727
2023-02-11,25.58730125427246,25.849428176879883,25.47324562072754
2023-02-12,26.18147087097168,26.59079360961914,26.11252784729004
2023-02-13,26.545761108398438,27.400066375732422,26.779096603393555
2023-02-14,26.72044563293457,27.201419830322266,26.748676300048828
2023-02-15,25.312467575073242,25.49103355407715,25.1982364654541
2023-02-16,23.953750610351562,24.192855834960938,23.91765022277832
2023-02-17,25.396085739135742,25.798755645751953,25.289051055908203
2023-02-18,21.66426658630371,21.980382919311523,21.539018630981445
2023-02-19,20.650964736938477,21.222986221313477,20.672382354736328
2023-02-20,20.918437957763672,21.218524932861328,20.947917938232422
2023-02-21,22.397991180419922,22.744461059570312,22.351900100708008
2023-02-22,22.879802703857422,23.454082489013672,22.953081130981445
2023-02-23,22.721149444580078,23.243606567382812,22.73938751220703
2023-02-24,23.431943893432617,23.927762985229492,23.44900894165039
2023-02-25,26.24904441833496,26.819677352905273,26.342952728271484
2023-02-26,25.13885498046875,25.416606903076172,25.024301528930664
2023-02-27,23.794702529907227,24.060312271118164,23.664501190185547
2023-02-28,23.970958709716797,24.5079288482666,24.14915657043457
2023-03-01,23.969762802124023,24.278364181518555,23.866666793823242
2023-03-02,24.70476531982422,25.50035285949707,24.913537979125977
2023-03-03,25.887544631958008,26.476886749267578,25.928630828857422
2023-03-04,25.111127853393555,25.66615104675293,25.199281692504883
2023-03-05,24.562990188598633,25.12654685974121,24.824098587036133
2023-03-06,23.844411849975586,24.832645416259766,24.161773681640625
2023-03-07,24.061279296875,25.031221389770508,24.378305435180664
2023-03-08,25.040695190429688,25.34185791015625,25.1226749420166
2023-03-09,26.57913589477539,26.992000579833984,26.6754093170166
2023-03-10,25.257549285888672,25.727083206176758,25.45600128173828
2023-03-11,24.892276763916016,25.158390045166016,24.7907772064209
2023-03-12,24.79944610595703,25.248937606811523,24.796646118164062
2023-03-13,25.214027404785156,25.57640266418457,25.31760597229004
2023-03-14,25.220752716064453,25.43950843811035,25.135753631591797
2023-03-15,25.598981857299805,25.93866729736328,25.505523681640625
2023-03-16,25.030780792236328,25.570220947265625,25.02437973022461
2023-03-17,24.44118309020996,25.41391372680664,24.65166473388672
2023-03-18,23.679948806762695,24.486452102661133,23.90831184387207
2023-03-19,24.16057586669922,24.765647888183594,24.27189064025879
2023-03-20,26.50653076171875,27.436426162719727,26.697856903076172
2023-03-21,25.03566551208496,25.871732711791992,25.224374771118164
2023-03-22,25.05129051208496,25.877033233642578,25.22916030883789
2023-03-23,25.059444427490234,25.319379806518555,24.952932357788086
2023-03-24,25.27109146118164,25.86940574645996,25.382165908813477
2023-03-25,24.552125930786133,24.93907928466797,24.425884246826172
2023-03-26,25.424833297729492,26.345279693603516,25.704254150390625
2023-03-27,23.627771377563477,24.064817428588867,23.448211669921875
2023-03-28,22.043378829956055,22.952716827392578,22.26816177368164
2023-03-29,24.8075008392334,25.195770263671875,24.871463775634766
2023-03-30,24.12808609008789,24.389802932739258,24.211498260498047
